TambonID,Lat,Long
100101,13.751,100.492
100102,13.744,100.499
100103,13.75,100.499
100104,13.751,100.503
100105,13.754,100.497
100106,13.753,100.5
100107,13.757,100.501
100108,13.76,100.498
100109,13.762,100.495
100110,13.762,100.503
100111,13.765,100.505
100112,13.768,100.499
100201,13.772,100.513
100202,13.778,100.505
100203,13.767,100.52
100203,,
100204,13.758,100.517
100206,13.789,100.522
100301,13.823,100.897
100302,13.869,100.885
100303,13.914,100.82
100304,13.914,100.88
100305,13.84,100.836
100306,13.872,100.81
100307,13.797,100.844
100308,13.781,100.877
100401,13.734,100.52
100402,13.73,100.525
100403,13.724,100.53
100404,13.727,100.527
100405,13.725,100.514
100502,13.868,100.606
100508,13.866,100.65
100508,,
100601,13.786,100.635
100608,13.756,100.66
100608,,
100701,13.744,100.52
100702,13.742,100.526
100702,,
100702,,
100702,,
100702,,
100703,13.74,100.535
100704,13.736,100.546
100801,13.743,100.514
100802,13.749,100.512
100803,13.753,100.513
100804,13.752,100.507
100805,13.759,100.511
100905,13.692,100.626
100910,,
101001,13.804,100.723
101002,13.812,100.774
101101,13.723,100.771
101102,13.753,100.723
101103,13.753,100.754
101104,13.765,100.817
101105,13.728,100.815
101106,,
101203,13.682,100.533
101204,13.697,100.544
101301,13.741,100.504
101302,13.739,100.511
101303,13.734,100.513
101401,13.782,100.545
101406,,
101501,13.737,100.493
101502,13.731,100.49
101503,13.72,100.482
101504,13.707,100.486
101505,13.715,100.473
101506,,
101507,,
101601,13.743,100.486
101602,13.733,100.475
101701,13.769,100.577
101702,13.752,100.586
101704,13.796,100.579
101801,13.731,100.497
101802,13.735,100.504
101803,13.715,100.501
101804,13.725,100.508
101901,13.76,100.456
101902,13.789,100.459
101903,13.786,100.432
101904,13.752,100.442
101905,13.767,100.431
101907,13.751,100.419
102004,13.759,100.481
102005,13.752,100.477
102006,13.774,100.466
102007,13.76,100.463
102009,13.772,100.477
102105,13.555,100.434
102107,13.605,100.395
102201,13.714,100.443
102202,13.723,100.437
102206,13.727,100.45
102207,13.736,100.445
102208,13.738,100.423
102209,13.722,100.464
102210,13.727,100.457
102302,13.68,100.358
102303,13.714,100.351
102401,13.67,100.51
102402,13.675,100.491
102501,13.791,100.487
102502,13.802,100.512
102503,13.781,100.482
102504,13.774,100.492
102601,13.778,100.567
102602,,
102701,13.808,100.65
102701,,
102704,,
102705,,
102801,13.71,100.532
102802,13.714,100.514
102803,13.718,100.541
102901,13.82,100.529
102902,,
103001,13.826,100.565
103002,,
103003,,
103004,,
103005,,
103101,13.696,100.494
103102,13.706,100.508
103103,13.694,100.516
103201,13.719,100.664
103202,13.687,100.656
103203,13.68,100.689
103301,13.71,100.57
103302,13.723,100.571
103303,13.707,100.595
103303,,
103401,13.726,100.628
103402,,
103403,,
103501,13.694,100.45
103502,13.702,100.476
103503,13.672,100.468
103504,13.693,100.468
103602,13.925,100.593
103604,,
103605,,
103701,13.763,100.53
103702,13.757,100.538
103703,13.752,100.559
103704,13.752,100.528
103801,13.811,100.612
103802,13.84,100.6
103901,13.743,100.56
103902,13.736,100.576
103903,13.719,100.596
103903,,
104001,13.698,100.409
104002,13.72,100.4
104003,13.741,100.385
104004,13.683,100.396
104101,13.883,100.564
104102,13.871,100.58
104201,13.921,100.654
104202,13.896,100.672
104203,13.898,100.63
104301,13.821,100.677
104302,,
104401,13.761,100.688
104401,,
104402,,
104403,,
104501,13.779,100.609
104601,13.889,100.708
104602,13.896,100.76
104603,13.839,100.7
104604,13.854,100.745
104605,13.861,100.786
104702,13.672,100.616
104703,13.672,100.616
104801,13.758,100.348
104802,13.783,100.39
104901,13.651,100.51
104902,13.614,100.497
105002,13.646,100.37
105003,13.646,100.37
105004,,
105005,,
110101,,
110102,13.649,100.617
110103,13.601,100.622
110104,13.556,100.599
110108,13.526,100.67
110110,13.564,100.653
110111,13.623,100.565
110112,13.51,100.751
110113,13.622,100.581
110114,,
110115,13.634,100.61
110116,13.572,100.621
110117,13.559,100.691
110201,13.611,100.862
110202,13.639,100.904
110203,13.574,100.9
110204,13.545,100.805
110205,13.511,100.835
110206,13.659,100.925
110207,13.672,100.881
110208,13.624,100.935
110301,13.618,100.694
110302,13.642,100.662
110303,13.561,100.739
110304,13.623,100.755
110308,13.681,100.733
110309,13.678,100.75
110401,13.671,100.52
110402,,
110403,13.616,100.536
110404,13.631,100.526
110405,13.645,100.546
110406,13.625,100.549
110407,13.641,100.573
110408,13.679,100.558
110409,13.697,100.561
110410,13.679,100.578
110411,13.666,100.566
110412,13.693,100.577
110413,13.665,100.545
110414,13.659,100.584
110415,13.653,100.564
110501,13.53,100.494
110502,13.571,100.476
110503,13.539,100.559
110504,13.606,100.567
110505,13.588,100.541
110601,13.6,100.815
110602,13.689,100.799
110603,13.641,100.803
120101,13.842,100.494
120102,13.85,100.509
120103,13.835,100.516
120104,13.869,100.491
120105,13.884,100.501
120106,13.823,100.492
120107,13.841,100.475
120108,13.835,100.438
120109,13.87,100.472
120110,13.859,100.464
120201,13.802,100.476
120202,13.809,100.499
120203,13.818,100.479
120204,13.811,100.453
120205,13.821,100.444
120206,13.822,100.417
120207,13.806,100.434
120208,13.814,100.402
120209,13.81,100.358
120301,13.838,100.406
120302,13.868,100.381
120303,13.854,100.434
120304,13.875,100.404
120305,13.837,100.375
120306,13.861,100.333
120401,13.914,100.422
120402,13.944,100.39
120403,13.878,100.438
120404,13.907,100.351
120405,13.964,100.401
120406,13.97,100.416
120407,13.934,100.366
120408,13.894,100.41
120501,13.976,100.344
120502,14.088,100.329
120503,13.906,100.322
120504,14.085,100.292
120505,14.005,100.287
120506,14.004,100.306
120507,13.942,100.312
120601,13.912,100.506
120602,13.896,100.521
120603,13.93,100.546
120604,13.927,100.516
120605,13.931,100.492
120606,13.93,100.479
120607,13.894,100.48
120608,13.91,100.472
120609,13.909,100.453
120610,13.959,100.45
120611,13.929,100.458
120612,13.902,100.55
130101,14.012,100.528
130102,13.963,100.553
130103,14.001,100.558
130104,14.029,100.507
130105,14.031,100.552
130106,13.967,100.523
130107,13.963,100.495
130108,14.007,100.509
130109,13.99,100.487
130110,14.035,100.572
130111,13.988,100.594
130112,13.983,100.537
130113,14.018,100.568
130114,13.963,100.59
130201,14.066,100.607
130201,,
130201,,
130202,14.079,100.642
130203,14.087,100.664
130204,14.097,100.687
130205,14.106,100.71
130205,,
130206,14.117,100.733
130206,,
130207,14.125,100.75
130301,13.987,100.632
130302,13.999,100.687
130303,14.018,100.731
130304,14.036,100.779
130305,14.052,100.824
130306,14.071,100.88
130401,14.112,100.824
130402,14.087,100.778
130403,14.2,100.824
130404,14.172,100.778
130405,14.13,100.881
130406,14.244,100.928
130407,14.223,100.866
130501,14.059,100.396
130502,14.006,100.41
130503,14.047,100.467
130504,14.068,100.437
130505,13.99,100.449
130506,14.102,100.383
130507,14.034,100.359
130601,13.955,100.641
130602,13.958,100.685
130603,13.961,100.731
130604,13.972,100.774
130605,13.984,100.82
130606,13.973,100.861
130607,14.029,100.862
130608,13.975,100.896
130701,14.062,100.504
130702,14.097,100.478
130703,14.052,100.529
130704,14.043,100.544
130705,14.042,100.515
130706,14.057,100.574
130707,14.067,100.546
130708,14.084,100.539
130709,14.105,100.567
130710,14.103,100.538
130711,14.105,100.496
140101,14.349,100.551
140102,14.341,100.581
140103,14.354,100.578
140104,14.368,100.578
140105,14.361,100.552
140106,14.356,100.589
140107,14.31,100.532
140108,14.365,100.542
140109,14.34,100.57
140110,14.391,100.558
140111,14.331,100.554
140112,14.39,100.539
140113,14.371,100.6
140114,14.376,100.548
140115,14.39,100.521
140116,14.389,100.582
140117,14.334,100.595
140118,14.371,100.563
140119,14.318,100.579
140120,14.347,100.529
140121,14.312,100.559
140201,14.566,100.719
140202,14.55,100.741
140203,14.548,100.764
140204,14.567,100.698
140205,14.532,100.7
140206,14.541,100.67
140207,14.519,100.676
140208,14.504,100.692
140209,14.512,100.732
140210,14.543,100.717
140301,14.469,100.622
140302,14.511,100.652
140303,14.406,100.603
140304,14.458,100.655
140305,14.44,100.62
140306,14.466,100.589
140307,14.483,100.613
140308,14.503,100.619
140309,14.423,100.64
140310,14.424,100.604
140311,14.489,100.675
140312,14.485,100.65
140401,14.191,100.48
140402,14.212,100.465
140403,14.213,100.522
140404,14.232,100.507
140405,14.315,100.462
140406,14.299,100.445
140407,14.305,100.472
140408,14.287,100.48
140409,14.278,100.453
140410,14.279,100.505
140411,14.309,100.499
140412,14.252,100.505
140413,14.259,100.474
140414,14.222,100.432
140415,14.188,100.435
140416,14.164,100.473
140417,14.141,100.49
140418,14.236,100.46
140419,14.186,100.519
140420,14.161,100.522
140421,,
140422,14.134,100.561
140423,14.123,100.492
140501,14.41,100.464
140502,14.39,100.497
140503,14.407,100.486
140504,14.363,100.486
140505,14.364,100.505
140506,14.347,100.485
140507,14.347,100.457
140508,14.328,100.482
140509,14.339,100.438
140510,14.375,100.432
140511,14.388,100.424
140512,14.403,100.433
140513,14.419,100.43
140514,14.436,100.439
140515,14.429,100.461
140516,14.436,100.492
140601,14.241,100.598
140602,14.16,100.594
140603,14.272,100.588
140604,14.307,100.604
140605,14.189,100.565
140606,14.214,100.597
140607,14.258,100.616
140608,14.26,100.568
140609,14.288,100.544
140610,14.292,100.647
140611,14.206,100.539
140612,14.223,100.552
140613,14.239,100.557
140614,14.295,100.621
140615,14.25,100.642
140616,14.289,100.668
140617,,
140618,14.266,100.542
140701,14.458,100.558
140702,14.414,100.564
140703,14.436,100.576
140704,14.496,100.549
140705,14.513,100.544
140706,14.5,100.577
140707,14.512,100.517
140708,14.474,100.531
140709,14.491,100.532
140710,14.464,100.508
140711,14.492,100.51
140712,14.444,100.536
140713,14.449,100.521
140714,14.421,100.547
140715,14.419,100.525
140716,14.524,100.563
140717,14.532,100.586
140801,14.462,100.379
140802,14.472,100.361
140803,14.495,100.405
140804,14.482,100.393
140805,14.446,100.387
140806,14.416,100.388
140807,14.433,100.286
140808,14.468,100.272
140809,14.439,100.407
140810,14.419,100.318
140811,14.5,100.388
140812,14.447,100.34
140813,14.474,100.311
140814,14.422,100.358
140815,14.49,100.351
140816,14.435,100.384
140901,14.442,100.725
140902,14.428,100.75
140903,14.39,100.77
140903,,
140904,14.457,100.751
140905,14.478,100.739
140906,14.474,100.693
140907,14.42,100.69
140908,14.44,100.675
141001,14.193,100.319
141002,14.195,100.277
141003,14.153,100.297
141004,14.161,100.395
141005,14.132,100.423
141006,14.196,100.369
141007,14.134,100.368
141101,14.275,100.708
141102,14.241,100.674
141103,14.201,100.699
141104,14.2,100.641
141105,14.298,100.813
141106,14.166,100.632
141106,,
141107,14.304,100.78
141108,14.249,100.8
141109,14.229,100.758
141110,14.257,100.748
141201,14.328,100.404
141202,14.342,100.417
141203,14.303,100.378
141204,14.306,100.399
141205,14.292,100.424
141206,14.376,100.402
141207,14.24,100.371
141208,14.351,100.394
141209,14.351,100.366
141210,14.39,100.383
141211,14.301,100.348
141212,14.258,100.348
141213,14.24,100.406
141214,14.372,100.358
141215,14.24,100.306
141216,14.278,100.401
141217,14.331,100.363
141301,14.314,100.286
141302,14.313,100.326
141303,14.34,100.319
141304,14.382,100.315
141305,14.236,100.258
141306,14.272,100.296
141401,14.335,100.641
141402,14.322,100.68
141403,14.349,100.742
141404,14.372,100.712
141405,14.376,100.751
141406,14.373,100.655
141407,14.392,100.689
141408,14.32,100.714
141409,14.332,100.759
141410,14.355,100.622
141410,,
141411,14.379,100.624
141411,,
141501,14.532,100.525
141502,14.546,100.556
141503,14.552,100.528
141504,14.566,100.542
141505,14.576,100.581
141506,14.602,100.563
141507,14.584,100.538
141508,14.608,100.544
141509,14.606,100.51
141510,14.576,100.518
141511,14.556,100.511
141512,14.531,100.5
141601,14.64,100.585
141602,14.655,100.586
141603,14.638,100.567
141604,14.627,100.553
141605,14.646,100.519
150101,14.592,100.453
150102,14.588,100.459
150103,14.599,100.445
150104,14.612,100.413
150105,14.565,100.434
150106,14.619,100.478
150107,14.568,100.4
150108,14.583,100.476
150109,14.553,100.474
150110,14.539,100.433
150111,14.542,100.457
150112,14.605,100.485
150113,14.578,100.432
150114,14.619,100.447
150201,14.658,100.482
150202,14.705,100.465
150203,14.637,100.472
150204,14.646,100.449
150205,14.672,100.456
150206,14.707,100.436
150207,14.684,100.462
150208,14.687,100.494
150209,14.676,100.498
150301,14.509,100.461
150302,14.501,100.437
150303,14.513,100.484
150304,14.488,100.472
150305,14.461,100.473
150306,14.518,100.431
150307,14.477,100.426
150308,14.455,100.442
150401,14.666,100.393
150402,14.651,100.425
150403,14.641,100.406
150404,14.708,100.351
150405,14.679,100.242
150406,14.691,100.428
150407,14.614,100.378
150408,14.731,100.398
150409,14.689,100.375
150410,14.658,100.297
150411,14.637,100.372
150412,14.677,100.36
150413,14.638,100.389
150414,14.695,100.398
150415,14.676,100.323
150501,14.763,100.31
150502,14.725,100.328
150503,14.709,100.306
150504,14.738,100.221
150505,14.769,100.248
150506,14.789,100.324
150507,14.741,100.364
150601,14.59,100.366
150602,14.597,100.34
150603,14.529,100.392
150604,14.546,100.223
150605,14.562,100.333
150606,14.579,100.301
150607,14.502,100.33
150608,14.555,100.294
150609,14.53,100.337
150610,14.505,100.251
150611,14.55,100.37
150612,14.636,100.323
150613,14.583,100.387
150614,14.517,100.289
150615,14.542,100.315
150701,14.606,100.252
150702,14.605,100.293
150703,14.581,100.246
150704,14.561,100.254
150705,14.64,100.26
160101,14.804,100.634
160102,14.802,100.611
160103,14.767,100.684
160104,14.674,100.597
160105,14.901,100.67
160106,14.83,100.671
160107,14.89,100.58
160108,14.74,100.64
160109,14.866,100.817
160110,14.704,100.592
160111,14.691,100.627
160112,14.737,100.601
160114,14.865,100.619
160114,14.865,100.619
160115,14.792,100.671
160116,14.824,100.732
160117,14.82,100.583
160117,14.82,100.583
160118,14.683,100.529
160119,14.725,100.563
160120,14.778,100.64
160121,14.82,100.603
160122,14.775,100.599
160123,14.725,100.532
160124,14.681,100.563
160125,14.831,100.629
160201,14.896,100.966
160202,14.802,100.909
160203,14.934,101.093
160204,14.94,100.852
160205,15.01,100.969
160206,14.795,100.985
160207,14.851,101.054
160208,14.951,101.205
160209,14.952,101.146
160301,15.071,100.713
160302,15.136,100.736
160303,15.064,100.68
160304,15.024,100.642
160305,14.981,100.677
160306,14.967,100.802
160307,15.12,100.797
160308,15.036,100.812
160309,15.062,100.841
160310,15.127,100.877
160318,15.023,100.697
160320,15.102,100.673
160322,15.143,100.685
160401,15.214,101.146
160402,15.195,101.037
160403,15.314,101.087
160404,15.154,101.044
160405,15.078,101.024
160406,15.176,101.238
160407,15.15,101.134
160408,15.059,101.077
160409,15.112,101.327
160410,15.245,101.282
160411,15.22,101.264
160412,15.318,101.251
160414,15.187,101.162
160417,15.264,101.15
160418,15.095,101.058
160419,15.258,101.022
160422,15.126,100.964
160501,14.82,100.496
160502,14.804,100.529
160503,14.795,100.558
160504,14.849,100.526
160505,14.85,100.492
160506,14.881,100.482
160507,14.906,100.447
160508,14.776,100.494
160509,14.723,100.487
160510,,
160511,14.876,100.509
160601,15.089,100.459
160602,15.034,100.582
160603,15.016,100.578
160604,15.059,100.63
160605,14.947,100.5
160606,14.953,100.598
160607,15.048,100.592
160608,14.994,100.496
160608,14.994,100.496
160609,14.996,100.597
160610,15.073,100.613
160611,14.963,100.555
160612,15.04,100.559
160613,14.953,100.457
160614,15.146,100.612
160615,15.21,100.61
160616,15.148,100.534
