"amphurEN","amphurTH","changwat","lat","long","pop","area","zip","province_id"
"Det Udom","เดชอุดม","Ubon Ratchathani","14.90306","105.07639","169896","142.9","34160","34"
"Nam Yuen","น้ำยืน","Ubon Ratchathani","14.48917","105.00083","67641","79.2","34160","34"
"Na Yia","นาเยีย","Ubon Ratchathani","15.05944","105.06028","24970","110.0","34160","34"
"Thung Si Udom","ทุ่งศรีอุดม","Ubon Ratchathani","14.73333","104.91000","26986","87.9","34160","34"
"Khemarat","เขมราฐ","Ubon Ratchathani","16.04000","105.20667","77010","146.7","34170","34"
"Na Tan","นาตาล","Ubon Ratchathani","15.90500","105.27667","34735","181.0","34170","34"
"Sawang Wirawong","สว่างวีรวงศ์","Ubon Ratchathani","15.24139","105.09222","30170","110.0","34190","34"
"Warin Chamrap","วารินชำราบ","Ubon Ratchathani","15.20250","104.86750","156355","226.3","34190","34"
"Khong Chiam","โขงเจียม","Ubon Ratchathani","15.31889","105.49556","32693","32.7","34220","34"
"Buntharik","บุณฑริก","Ubon Ratchathani","14.75667","105.41139","88052","62.8","34230","34"
"Si Mueang Mai","ศรีเมืองใหม่","Ubon Ratchathani","15.49528","105.27861","65443","50.0","34250","34"
"Nam Khun","น้ำขุ่น","Ubon Ratchathani","14.58333","104.92500","30587","81.0","34260","34"
"Kut Khaopun","กุดข้าวปุ้น","Ubon Ratchathani","15.79167","104.99667","39824","124.5","34270","34"
"Na Chaluai","นาจะหลวย","Ubon Ratchathani","14.52139","105.24611","53774","85.1","34280","34"
"Tan Sum","ตาลสุม","Ubon Ratchathani","15.31556","105.15500","31164","62.1","34330","34"
"Pho Sai","โพธิ์ไทร","Ubon Ratchathani","15.82583","105.26083","42142","140.0","34340","34"
"Sirindhorn","สิรินธร","Ubon Ratchathani","15.20167","105.39833","48156","130.2","34350","34"
"Samrong","สำโรง","Ubon Ratchathani","15.00833","104.78222","51959","124.9","34360","34"
"Mueang Yasothon","เมืองยโสธร","Yasothon","15.79472","104.14056","129999","224.8","35000","35"
"Kham Khuean Kaeo","คำเขื่อนแก้ว","Yasothon","15.65306","104.30889","68606","109.85","35110","35"
"Loeng Nok Tha","เลิงนกทา","Yasothon","16.20778","104.55472","93750","99.4","35120","35"
"Thai Charoen","ไทยเจริญ","Yasothon","16.06306","104.44722","29842","109.7","35120","35"
"Maha Chana Chai","มหาชนะชัย","Yasothon","15.53250","104.24250","58670","128.9","35130","35"
"Kut Chum","กุดชุม","Yasothon","16.03333","104.33806","65959","121.25","35140","35"
"Pa Tio","ป่าติ้ว","Yasothon","15.83139","104.38556","35398","114.9","35150","35"
"Kho Wang","ค้อวัง","Yasothon","15.36778","104.35778","26424","176.16","35160","35"
"Sai Mun","ทรายมูล","Yasothon","15.93944","104.20889","31092","114.0","35170","35"
"Mueang Chaiyaphum","เมืองชัยภูมิ","Chaiyaphum","15.80694","102.03167","184921","158.1","36000","36"
"Phu Khiao","ภูเขียว","Chaiyaphum","16.37639","102.12861","120792","150.7","36110","36"
"Kaset Sombun","เกษตรสมบูรณ์","Chaiyaphum","16.28028","101.95389","110382","77.8","36120","36"
"Chatturat","จัตุรัส","Chaiyaphum","15.56556","101.84556","74548","102.0","36130","36"
"Noen Sa-nga","เนินสง่า","Chaiyaphum","15.56417","102.00167","24125","108.7","36130","36"
"Sap Yai","ซับใหญ่","Chaiyaphum","15.64167","101.63000","13466","78.8","36130","36"
"Khon Sawan","คอนสวรรค์","Chaiyaphum","15.93167","102.28111","54313","116.0","36140","36"
"Kaeng Khro","แก้งคร้อ","Chaiyaphum","16.10861","102.25806","87663","150.6","36150","36"
"Bamnet Narong","บำเหน็จณรงค์","Chaiyaphum","15.50028","101.68639","54750","97.7","36160","36"
"Ban Khwao","บ้านเขว้า","Chaiyaphum","15.77833","101.90694","51277","94.2","36170","36"
"Khon San","คอนสาร","Chaiyaphum","16.61333","101.91972","58867","60.9","36180","36"
"Ban Thaen","บ้านแท่น","Chaiyaphum","16.40500","102.34194","43992","142.5","36190","36"
"Nong Bua Daeng","หนองบัวแดง","Chaiyaphum","16.08167","101.80333","92766","41.9","36210","36"
"Dan Khun Thot","ด่านขุนทด","Nakhon Ratchasima","15.20972","101.76583","126253","88.4","36220","36"
"Thep Sathit","เทพสถิต","Chaiyaphum","15.39167","101.45000","65735","75.1","36230","36"
"Nong Bua Rawe","หนองบัวระเหว","Chaiyaphum","15.74861","101.75944","36371","43.2","36250","36"
"Phakdi Chumphon","ภักดีชุมพล","Chaiyaphum","15.90500","101.42167","28111","31.2","36260","36"
"Mueang Amnat Charoen","เมืองอำนาจเจริญ","Amnat Charoen","15.85833","104.62944","128992","216.2","37000","37"
"Lue Amnat","ลืออำนาจ","Amnat Charoen","15.70167","104.64500","36878","192.3","37000","37"
"Pathum Ratchawongsa","ปทุมราชวงศา","Amnat Charoen","15.89222","104.90583","46100","88.5","37110","37"
"Phana","พนา","Amnat Charoen","15.68333","104.84667","28001","216.2","37180","37"
"Chanuman","ชานุมาน","Amnat Charoen","16.23333","105.00000","37677","67.8","37210","37"
"Hua Taphan","หัวตะพาน","Amnat Charoen","15.69667","104.49167","50524","94.8","37240","37"
"Senangkhanikhom","เสนางคนิคม","Amnat Charoen","16.03833","104.67000","40188","76.4","37290","37"
"Bueng Kan","เมืองบึงกาฬ","Bueng Kan","18.35806","103.65306","89978","105.5","38000","38"
