"amphurEN","amphurTH","changwat","lat","long","pop","area","zip","province_id"
"Renu Nakhon","เรณูนคร","Nakhon Phanom","17.05611","104.67972","45264","178.2","48170","48"
"Na Wa","นาหว้า","Nakhon Phanom","17.48944","104.10139","44661","85.4","48180","48"
"Phon Sawan","โพนสวรรค์","Nakhon Phanom","17.45639","104.46861","54352","75.6","48190","48"
"Mueang Mukdahan","เมืองมุกดาหาร","Mukdahan","16.53806","104.71472","129351","103.6","49000","49"
"Khamcha-i","คำชะอี","Mukdahan","16.57722","104.41917","46987","72.8","49110","49"
"Don Tan","ดอนตาล","Mukdahan","16.31667","104.92000","42215","81.3","49120","49"
"Nikhom Kham Soi","นิคมคำสร้อย","Mukdahan","16.371667","104.550556","42225","111.9","49130","49"
"Dong Luang","ดงหลวง","Mukdahan","16.81528","104.53778","35808","33.3","49140","49"
"Wan Yai","หว้านใหญ่","Mukdahan","16.72750","104.73889","18683","221.2","49150","49"
"Nong Sung","หนองสูง","Mukdahan","16.48667","104.34444","20874","50.9","49160","49"
"Mueang Chiang Mai","เมืองเชียงใหม่","Chiang Mai","18.79028","98.98444","242974","1594.3","50000","50"
"Fang","ฝาง","Chiang Mai","19.91889","99.21361","121033","136.3","50110","50"
"San Pa Tong","สันป่าตอง","Chiang Mai","18.62861","98.89556","75600","431.2","50120","50"
"Mae On","แม่ออน","Chiang Mai","18.77639","99.24806","21652","49.0","50130","50"
"San Kamphaeng","สันกำแพง","Chiang Mai","18.74528","99.12028","73721","372.6","50130","50"
"Saraphi","สารภี","Chiang Mai","18.71333","99.03639","74782","767.4","50140","50"
"Mae Taeng","แม่แตง","Chiang Mai","19.12194","98.94361","82094","60.2","50150","50"
"Chom Thong","จอมทอง","Chiang Mai","18.417222","98.675833","76376","107.2","50160","50"
"Doi Lo","ดอยหล่อ","Chiang Mai","18.47444","98.78361","27623","106.2","50160","50"
"Chiang Dao","เชียงดาว","Chiang Mai","19.36611","98.96417","87922","46.7","50170","50"
"Mae Rim","แม่ริม","Chiang Mai","18.91389","98.94500","82943","187.0","50180","50"
"Phrao","พร้าว","Chiang Mai","19.36583","99.20222","52222","45.5","50190","50"
"San Sai","สันทราย","Chiang Mai","18.84861","99.04500","105771","371.1","50210","50"
"Doi Saket","ดอยสะเก็ด","Chiang Mai","18.87028","99.13667","64116","95.5","50220","50"
"Hang Dong","หางดง","Chiang Mai","18.68694","98.91889","67570","243.8","50230","50"
"Hot","ฮอด","Chiang Mai","18.19278","98.61111","48287","33.8","50240","50"
"Samoeng","สะเมิง","Chiang Mai","18.84806","98.73250","23236","25.9","50250","50"
"Doi Tao","ดอยเต่า","Chiang Mai","17.95361","98.68500","27284","33.9","50260","50"
"Galyani Vadhana","กัลยาณิวัฒนา","Chiang Mai","19.06694","98.29444","10593","16.4","50270","50"
"Mae Chaem","แม่แจ่ม","Chiang Mai","18.49889","98.36194","57214","21.1","50270","50"
"Mae Ai","แม่อาย","Chiang Mai","20.03139","99.28694","77295","104.9","50280","50"
"Omkoi","อมก๋อย","Chiang Mai","17.80111","98.35861","54568","26.1","50310","50"
"Chai Prakan","ไชยปราการ","Chiang Mai","19.73222","99.14028","47898","93.8","50320","50"
"Wiang Haeng","เวียงแหง","Chiang Mai","19.55944","98.63556","28876","93.8","50350","50"
"Mueang Lamphun","เมืองลำพูน","Lamphun","18.57806","99.01778","140486","292.8","51000","51"
"Li","ลี้","Lamphun","17.80333","98.95000","67240","39.5","51110","51"
"Pa Sang","ป่าซาง","Lamphun","18.52583","98.93917","58641","195.5","51120","51"
"Wiang Nong Long","เวียงหนองล่อง","Lamphun","18.39333","98.71833","18628","377.8","51120","51"
"Ban Hong","บ้านโฮ่ง","Lamphun","18.33111","98.81889","42697","71.5","51130","51"
"Mae Tha","แม่ทา","Lamphun","18.461944","99.134722","40361","52.9","51140","51"
"Thung Hua Chang","ทุ่งหัวช้าง","Lamphun","18.00306","99.02778","19067","39.2","51160","51"
"Ban Thi","บ้านธิ","Lamphun","18.65167","99.12500","17607","136.5","51180","51"
"Mueang Lampang","เมืองลำปาง","Lampang","18.29194","99.50444","235092","205.2","52000","52"
"Ngao","งาว","Lampang","18.77667","99.97000","58813","32.4","52110","52"
"Chae Hom","แจ้ห่ม","Lampang","18.71278","99.55750","42457","31.2","52120","52"
"Ko Kha","เกาะคา","Lampang","18.19167","99.39556","63870","115.9","52130","52"
"Soem Ngam","เสริมงาม","Lampang","18.06528","99.24722","32714","51.8","52130","52"
"Wang Nuea","วังเหนือ","Lampang","19.14500","99.62000","44777","43.4","52140","52"
"Mae Tha","แม่ทา","Lampang","18.135","99.513333","63032","77.8","52150","52"
"Thoen","เถิน","Lampang","17.61167","99.21583","61694","38.4","52160","52"
"Sop Prap","สบปราบ","Lampang","17.88083","99.33722","28515","56.8","52170","52"
"Mae Phrik","แม่พริก","Lampang","17.44833","99.11500","17149","31.8","52180","52"
"Hang Chat","ห้างฉัตร","Lampang","18.32194","99.31778","51495","75.2","52190","52"
"Mae Mo","แม่เมาะ","Lampang","18.27500","99.65000","38768","40.4","52220","52"
"Mueang Pan","เมืองปาน","Lampang","18.77056","99.49833","34494","39.9","52240","52"
"Mueang Uttaradit","เมืองอุตรดิตถ์","Uttaradit","17.62583","100.09667","151108","200.6","53000","53"
"Phichai","พิชัย","Uttaradit","17.28694","100.08750","77536","105.2","53120","53"
"Laplae","ลับแล","Uttaradit","17.65139","100.03917","57559","128.3","53130","53"
"Tron","ตรอน","Uttaradit","17.48222","100.11306","35036","113.6","53140","53"
"Nam Pat","น้ำปาด","Uttaradit","17.72833","100.68444","30037","22.8","53150","53"
"Tha Pla","ท่าปลา","Uttaradit","17.79306","100.37722","48902","29.1","53150","53"
"Fak Tha","ฟากท่า","Uttaradit","17.99222","100.87861","15128","24.2","53160","53"
"Ban Khok","บ้านโคก","Uttaradit","18.02500","101.07000","14395","13.5","53180","53"
"Thong Saen Khan","ทองแสนขัน","Uttaradit","17.47528","100.33361","33042","44.3","53230","53"
"Mueang Phrae","เมืองแพร่","Phrae","18.14556","100.14139","123811","163.7","54000","54"
"Song","สอง","Phrae","18.47000","100.18333","53687","33.0","54120","54"
"Sung Men","สูงเม่น","Phrae","18.05194","100.11167","80129","213.7","54130","54"
"Den Chai","เด่นชัย","Phrae","17.97861","100.05861","37440","141.0","54140","54"
"Rong Kwang","ร้องกวาง","Phrae","18.33972","100.31750","51016","81.4","54140","54"
"Long","ลอง","Phrae","18.075556","99.8325","57940","40","54150","54"
"Wang Chin","วังชิ้น","Phrae","17.90000","99.60333","47720","39.2","54160","54"
"Nong Muang Khai","หนองม่วงไข่","Phrae","18.26472","100.19000","19302","87.33","54170","54"
"Bo Kluea","บ่อเกลือ","Nan","19.14889","101.15750","14326","17","55000","55"
"Mueang Nan","เมืองน่าน","Nan","18.79361","100.72944","81481","100","55000","55"
"Phu Phiang","ภูเพียง","Nan","18.74278","100.79917","35535","70","55000","55"
"Santi Suk","สันติสุข","Nan","18.91333","100.94139","15695","38","55000","55"
"Wiang Sa","เวียงสระ","Nan","18.598333","100.74","70357","37","55110","55"
"Pua","ปัว","Nan","19.17417","100.91667","64263","98","55120","55"
"Chaloem Phra Kiat","เฉลิมพระเกียรติ","Nan","19.579167","101.081111","9347","18","55130","55"
"Thung Chang","ทุ่งช้าง","Nan","19.38722","100.87583","18296","24","55130","55"
"Tha Wang Pha","ท่าวังผา","Nan","19.11972","100.80972","51518","73","55140","55"
"Na Noi","นาน้อย","Nan","18.32500","100.71500","32560","23","55150","55"
"Chiang Klang","เชียงกลาง","Nan","19.29167","100.86167","28234","100","55160","55"
"Song Khwae","สองแคว","Nan","19.35972","100.70083","11765","22","55160","55"
"Mae Charim","แม่จริม","Nan","18.70333","101.00500","15553","16","55170","55"
"Na Muen","นาหมื่น","Nan","18.18944","100.65889","14817","19","55180","55"
"Ban Luang","บ้านหลวง","Nan","18.85139","100.43833","12063","36","55190","55"
"Mueang Phayao","เมืองพะเยา","Phayao","19.19194","99.87861","125818","143.8","56000","56"
"Phu Kamyao","ภูกามยาว","Phayao","19.27167","99.97000","22659","106.0","56000","56"
"Phu Sang","ภูซาง","Phayao","19.59917","100.32417","31407","107.0","56110","56"
"Dok Khamtai","ดอกคำใต้","Phayao","19.16250","99.99333","73205","88.9","56120","56"
"Mae Chai","แม่ใจ","Phayao","19.34500","99.81500","36089","120.0","56130","56"
"Pong","ปง","Phayao","19.14833","100.27500","53212","29.8","56140","56"
"Chun","จุน","Phayao","19.33722","100.13500","52066","91.2","56150","56"
"Chiang Kham","เชียงคำ","Phayao","19.52333","100.30167","77211","98.5","56160","56"
"Chiang Muan","เชียงม่วน","Phayao","18.88667","100.30333","19122","26.5","56160","56"
"Mueang Chiang Rai","เมืองเชียงราย","Chiang Rai","19.90861","99.83250","227142","186.8","57000","57"
"Doi Luang","ดอยหลวง","Chiang Rai","20.11833","100.10000","19356","86.8","57110","57"
"Mae Chan","แม่จัน","Chiang Rai","20.14667","99.85333","102586","129.7","57110","57"
"Mae Fa Luang","แม่ฟ้าหลวง","Chiang Rai","20.26722","99.80139","76613","119.4","57110","57"
"Mae Wang","แม่วาง","Chiang Mai","18.61250","98.77500","30871","51.3","57110","57"
"Phan","พาน","Chiang Rai","19.55389","99.74056","128143","125.3","57120","57"
"Mae Sai","แม่สาย","Chiang Rai","20.42806","99.88361","86298","302.8","57130","57"
"Chiang Khong","เชียงของ","Chiang Rai","20.26000","100.40667","62410","76.1","57140","57"
"Chiang Saen","เชียงแสน","Chiang Rai","20.27500","100.08833","51948","99.2","57150","57"
"Thoeng","เทิง","Chiang Rai","19.68556","100.19361","84507","102.9","57160","57"
"Wiang Pa Pao","เวียงป่าเป้า","Chiang Rai","19.34833","99.50667","68198","56.2","57170","57"
"Mae Suai","แม่สรวย","Chiang Rai","19.65639","99.54250","82989","56.3","57180","57"
"Pa Daet","ป่าแดด","Chiang Rai","19.50417","99.99306","26628","79.9","57190","57"
"Wiang Chai","เวียงชัย","Chiang Rai","19.88306","99.93306","43968","169.9","57210","57"
"Wiang Chiang Rung","เวียงเชียงรุ้ง","Chiang Rai","20.01306","100.05694","26531","100.8","57210","57"
"Mae Lao","แม่ลาว","Chiang Rai","19.79000","99.69972","30779","75.8","57250","57"
"Phaya Mengrai","พญาเม็งราย","Chiang Rai","19.84889","100.15361","41972","67.7","57290","57"
"Wiang Kaen","เวียงแก่น","Chiang Rai","20.11222","100.51361","32310","61.4","57310","57"
"Khun Tan","ขุนตาล","Chiang Rai","19.83333","100.25833","33494","143.1","57340","57"
"Mueang Mae Hong Son","เมืองแม่ฮ่องสอน","Mae Hong Son","19.30389","97.97722","53333","22.2","58000","58"
"Mae Sariang","แม่สะเรียง","Mae Hong Son","18.15944","97.93361","50937","20.1","58110","58"
"Sop Moei","สบเมย","Mae Hong Son","17.96194","97.93333","41726","29.5","58110","58"
"Mae La Noi","แม่ลาน้อย","Mae Hong Son","18.38444","97.93694","34126","23.4","58120","58"
"Pai","ปาย","Mae Hong Son","19.35861","98.44000","29526","13.2","58130","58"
"Khun Yuam","ขุนยวม","Mae Hong Son","18.83944","97.95139","21479","12.6","58140","58"
"Pang Mapha","ปางมะผ้า","Mae Hong Son","19.52250","98.24611","19708","24.7","58150","58"
"Mueang Nakhon Sawan","เมืองนครสวรรค์","Nakhon Sawan","15.70500","100.13750","238760","319.1","60000","60"
"Nong Bua","หนองบัว","Nakhon Sawan","15.86500","100.58611","70609","86.2","60110","60"
"Phayuha Khiri","พยุหะคีรี","Nakhon Sawan","15.48722","100.14000","62508","84.7","60130","60"
"Takhli","ตาคลี","Nakhon Sawan","15.26306","100.34361","114912","134.5","60140","60"
"Chum Saeng","ชุมแสง","Nakhon Sawan","15.88111","100.30250","67489","94.2","60150","60"
"Chum Ta Bong","ชุมตาบง","Nakhon Sawan","15.63167","99.55278","18369","48.5","60150","60"
"Lat Yao","ลาดยาว","Nakhon Sawan","15.75417","99.79056","91704","132.7","60150","60"
"Mae Poen","แม่เปิน","Nakhon Sawan","15.65778","99.46917","19730","75.8","60150","60"
"Mae Wong","แม่วงก์","Nakhon Sawan","15.78111","99.51917","52705","68.7","60150","60"
"Tha Tako","ท่าตะโก","Nakhon Sawan","15.64167","100.48250","69160","113.9","60160","60"
"Krok Phra","โกรกพระ","Nakhon Sawan","15.55667","100.07333","36463","122.7","60170","60"
"Banphot Phisai","บรรพตพิสัย","Nakhon Sawan","15.93583","99.98222","88300","97.0","60180","60"
"Tak Fa","ตากฟ้า","Nakhon Sawan","15.34583","100.49472","41192","72.2","60190","60"
"Phaisali","ไพศาลี","Nakhon Sawan","15.59750","100.65806","70799","72.3","60220","60"
"Kao Liao","เก้าเลี้ยว","Nakhon Sawan","15.85028","100.07861","34843","135.7","60230","60"
"Mueang Uthai Thani","เมืองอุทัยธานี","Uthai Thani","15.37944","100.02472","52591","210.3","61000","61"
"Nong Chang","หนองฉาง","Uthai Thani","15.39139","99.84139","44366","131.4","61110","61"
"Thap Than","ทัพทัน","Uthai Thani","15.45972","99.88667","38631","119.3","61120","61"
"Nong Khayang","หนองขาหย่าง","Uthai Thani","15.36417","99.92917","16369","47.1","61130","61"
"Ban Rai","บ้านไร่","Uthai Thani","15.08389","99.52111","66167","18.3","61140","61"
"Sawang Arom","สว่างอารมณ์","Uthai Thani","15.58389","99.86083","31092","91.1","61150","61"
"Lan Sak","ลานสัก","Uthai Thani","15.45278","99.57611","57548","53.3","61160","61"
"Huai Khot","ห้วยคด","Uthai Thani","15.29139","99.61667","19547","46.1","61170","61"
"Mueang Kamphaeng Phet","เมืองกำแพงเพชร","Kamphaeng Phet","16.48333","99.52000","211369","108.1","62000","62"
"Phran Kratai","พรานกระต่าย","Kamphaeng Phet","16.66472","99.58861","68529","87.6","62110","62"
"Khlong Khlung","คลองขลุง","Kamphaeng Phet","16.21667","99.72000","74812","63.1","62120","62"
"Pang Sila Thong","ปางศิลาทอง","Kamphaeng Phet","16.09667","99.49000","30591","63.7","62120","62"
"Sai Ngam","ไทรงาม","Kamphaeng Phet","16.47222","99.89667","51183","114.0","62150","62"
"Kosamphi Nakhon","โกสัมพีนคร","Kamphaeng Phet","16.63167","99.34833","28347","59.5","62170","62"
"Lan Krabue","ลานกระบือ","Kamphaeng Phet","16.60056","99.84917","41297","115.0","62170","62"
"Khanu Woralaksaburi","ขาณุวรลักษบุรี","Kamphaeng Phet","16.06139","99.86056","107631","94.2","62180","62"
"Khlong Lan","คลองลาน","Kamphaeng Phet","16.20361","99.32111","63106","55.3","62180","62"
"Sai Thong Watthana","ทรายทองวัฒนา","Kamphaeng Phet","16.31222","99.83111","23971","94.7","62190","62"
"Bueng Samakkhi","บึงสามัคคี","Kamphaeng Phet","16.18833","99.97750","26663","70.7","62210","62"
"Mueang Tak","เมืองตาก","Tak","16.88167","99.12361","98493","61.6","63000","63"
"Wang Chao","วังเจ้า","Tak","16.70417","99.24278","29726","90.4","63000","63"
"Mae Sot","แม่สอด","Tak","16.71306","98.57472","120569","60.71","63110","63"
"Ban Tak","บ้านตาก","Tak","17.04333","99.07889","46492","46.8","63120","63"
"Sam Ngao","สามเงา","Tak","17.24333","99.02250","32483","11.7","63130","63"
"Mae Ramat","แม่ระมาด","Tak","16.98306","98.51694","44798","30.4","63140","63"
"Tha Song Yang","ท่าสองยาง","Tak","17.22667","98.22500","61161","31.8","63150","63"
"Phop Phra","พบพระ","Tak","16.38611","98.69028","63336","62.9","63160","63"
"Umphang","อุ้มผาง","Tak","16.01667","98.86278","25757","6.0","63170","63"
"Mueang Sukhothai","เมืองสุโขทัย","Sukhothai","17.00778","99.82306","106397","185.0","64000","64"
"Sawankhalok","สวรรคโลก","Sukhothai","17.31667","99.83167","87735","151.7","64110","64"
"Si Samrong","ศรีสำโรง","Sukhothai","17.16472","99.86194","73810","130.5","64120","64"
"Si Satchanalai","ศรีสัชนาลัย","Sukhothai","17.51722","99.76028","95198","46.4","64130","64"
"Ban Dan Lan Hoi","บ้านด่านลานหอย","Sukhothai","17.00611","99.57472","42074","41.3","64140","64"
"Thung Saliam","ทุ่งเสลี่ยม","Sukhothai","17.32083","99.56083","49962","87.66","64150","64"
"Khiri Mat","คีรีมาศ","Sukhothai","16.83333","99.80167","56585","108.4","64160","64"
"Kong Krailat","กงไกรลาศ","Sukhothai","16.95250","99.97611","64521","128.4","64170","64"
"Si Nakhon","ศรีนคร","Sukhothai","17.34806","99.99083","27374","88.3","64180","64"
"Mueang Phitsanulok","เมืองพิษณุโลก","Phitsanulok","16.82472","100.25944","264387","352.1","65000","65"
"Bang Krathum","บางกระทุ่ม","Phitsanulok","16.58528","100.30611","48667","111.0","65110","65"
"Nakhon Thai","นครไทย","Phitsanulok","17.10083","100.83778","85842","38.7","65120","65"
"Wang Thong","วังทอง","Phitsanulok","16.82417","100.42861","119103","71.5","65130","65"
"Bang Rakam","บางระกำ","Phitsanulok","16.75833","100.11806","94854","101.3","65140","65"
"Phrom Phiram","พรหมพิราม","Phitsanulok","17.03333","100.20194","89163","107.8","65150","65"
"Wat Bot","วัดโบสถ์","Phitsanulok","16.98028","100.33333","37165","28.0","65160","65"
"Chat Trakan","ชาติตระการ","Phitsanulok","17.27667","100.59917","38646","24.4","65170","65"
"Noen Maprang","เนินมะปราง","Phitsanulok","16.56833","100.63556","58689","57.0","65190","65"
"Mueang Phichit","เมืองพิจิตร","Phichit","16.43833","100.35000","112779","153.0","66000","66"
"Taphan Hin","ตะพานหิน","Phichit","16.21500","100.42167","70573","152.1","66110","66"
"Bang Mun Nak","บางมูลนาก","Phichit","16.02778","100.37889","49302","130.5","66120","66"
"Bueng Na Rang","บึงนาราง","Phichit","16.17167","100.12667","28277","62.3","66130","66"
"Pho Thale","โพทะเล","Phichit","16.07500","100.30333","60781","127.1","66130","66"
"Sam Ngam","สามง่าม","Phichit","16.50889","100.20472","43933","130.4","66140","66"
"Wachirabarami","วชิรบารมี","Phichit","16.52500","100.14500","30739","118.5","66140","66"
"Tap Khlo","ทับคล้อ","Phichit","16.16167","100.59667","46377","122.6","66150","66"
"Sak Lek","สากเหล็ก","Phichit","16.50972","100.46944","24376","138.2","66160","66"
"Wang Sai Phun","วังทรายพูน","Phichit","16.38833","100.53833","25541","98.4","66180","66"
"Pho Prathap Chang","โพธิ์ประทับช้าง","Phichit","16.31111","100.27500","43684","115.4","66190","66"
"Dong Charoen","ดงเจริญ","Phichit","16.02833","100.62667","18214","82.7","66210","66"
"Phetchabun","เมืองเพชรบูรณ์","Phetchabun","16.44306","101.14917","211227","92.6","67000","67"
"Lom Sak","หล่มสัก","Phetchabun","16.77944","101.24222","150680","98.1","67110","67"
"Lom Kao","หล่มเก่า","Phetchabun","16.88556","101.22944","60228","65.0","67120","67"
"Wichian Buri","วิเชียรบุรี","Phetchabun","15.65722","101.10667","129291","79.2","67130","67"
"Nong Phai","หนองไผ","Phetchabun","15.99028","101.06250","115832","85.2","67140","67"
"Chon Daen","ชนแดน","Phetchabun","16.18917","100.85972","86086","75.7","67150","67"
"Bueng Sam Phan","บึงสามพัน","Phetchabun","15.79667","101.00833","66613","136.0","67160","67"
"Si Thep","ศรีเทพ","Phetchabun","15.45333","101.06722","63300","78.1","67170","67"
"Wang Pong","วังโป่ง","Phetchabun","16.34111","100.79333","38473","70.8","67240","67"
"Nam Nao","น้ำหนาว","Phetchabun","16.76833","101.67167","15485","25.0","67260","67"
"Khao Kho","เขาค้อ","Phetchabun","16.63333","100.99833","32932","24.7","67270","67"
"Mueang Ratchaburi","เมืองราชบุรี","Ratchaburi","13.52833","99.81167","183528","426.5","70000","70"
"Ban Pong","บ้านโป่ง","Ratchaburi","13.81417","99.87111","157689","430.1","70110","70"
"Photharam","โพธาราม","Ratchaburi","13.69222","99.85361","128434","308.0","70120","70"
"Damnoen Saduak","ดำเนินสะดวก","Ratchaburi","13.51750","99.95472","98994","470.7","70130","70"
"Pak Tho","ปากท่อ","Ratchaburi","13.36778","99.83056","64917","79.2","70140","70"
"Chom Bueng","จอมบึง","Ratchaburi","13.61972","99.59167","58057","75.2","70150","70"
"Bang Phae","บางแพ","Ratchaburi","13.69139","99.93028","44562","248.8","70160","70"
"Wat Phleng","วัดเพลง","Ratchaburi","13.45389","99.88694","12228","322.6","70170","70"
"Ban Kha","บ้านคา","Ratchaburi","13.43000","99.40833","22818","22.2","70180","70"
"Suan Phueng","สวนผึ้ง","Ratchaburi","13.54333","99.34000","30252","30.1","70180","70"
"Mueang Kanchanaburi","เมืองกาญจนบุรี","Kanchanaburi","14.00333","99.55000","153597","124.2","71000","71"
"Tha Muang","ท่าม่วง","Kanchanaburi","13.96667","99.63861","105415","172.5","71110","71"
"Tha Maka","ท่ามะกา","Kanchanaburi","13.92083","99.76556","133051","390.4","71120","71"
"Phanom Thuan","พนมทวน","Kanchanaburi","14.13028","99.69889","51979","97.0","71140","71"
"Sai Yok","อำเภอไทรโยค","Kanchanaburi","14.11556","99.14444","51692","18.9","71150","71"
"Bo Phloi","บ่อพลอย","Kanchanaburi","14.32583","99.51444","54288","56.1","71160","71"
"Huai Krachao","ห้วยกระเจา","Kanchanaburi","14.32722","99.66667","32602","52.5","71170","71"
"Thong Pha Phum","ทองผาภูมิ","Kanchanaburi","14.74583","98.62500","62848","17.2","71180","71"
"Lao Khwan","เลาขวัญ","Kanchanaburi","14.59639","99.77472","54967","66.1","71210","71"
"Nong Prue","หนองปรือ","Kanchanaburi","14.61139","99.45028","29703","59.1","71220","71"
"Sangkhla Buri","สังขละบุรี","Kanchanaburi","15.15556","98.45333","40162","12.0","71240","71"
"Si Sawat","ศรีสวัสดิ์","Kanchanaburi","14.59917","99.11389","23700","7.2","71250","71"
"Dan Makham Tia","ด่านมะขามเตี้ย","Kanchanaburi","13.85361","99.41056","32248","40.0","71260","71"
"Suphan Buri","สุพรรณบุรี","Suphanburi","14.484444","100.123611","158087","292.3","72000","72"
"Song Phi Nong","สองพี่น้อง","Suphanburi","14.22361","100.02111","126905","173.3","72110","72"
"Doem Bang Nang Buat","เดิมบางนางบวช","Suphanburi","14.85361","100.09778","74619","135.1","72120","72"
"Sam Chuk","สามชุก","Suphanburi","14.75528","100.09472","58223","163.6","72130","72"
"Si Prachan","ศรีประจันต์","Suphanburi","14.61972","100.14444","64995","359.1","72140","72"
"Bang Pla Ma","บางปลาม้า","Suphanburi","14.40222","100.15444","86947","180.7","72150","72"
"U Thong","อู่ทอง","Suphanburi","14.37556","99.89222","111696","1172","72160","72"
"Don Chedi","ดอนเจดีย์","Suphanburi","14.63500","100.02167","45336","179.8","72170","72"
"Dan Chang","ด่านช้าง","Suphanburi","14.84167","99.69722","64416","54.0","72180","72"
"Nong Ya Sai","หนองหญ้าไซ","Suphanburi","14.77500","99.91111","49894","118.7","72240","72"
"Mueang Nakhon Pathom","เมืองนครปฐม","Nakhon Pathom","13.81972","100.06583","271391","650.2","73000","73"
"Sam Phran","สามพราน","Nakhon Pathom","13.72417","100.21667","171562","688","73110","73"
"Nakhon Chai Si","นครชัยศรี","Nakhon Pathom","13.80111","100.18778","106840","354.9","73120","73"
"Bang Len","บางเลน","Nakhon Pathom","14.02167","100.16556","89223","156","73130","73"
"Kamphaeng Saen","กำแพงแสน","Nakhon Pathom","13.98389","99.99389","124715","307.9","73140","73"
"Don Tum","ดอนตูม","Nakhon Pathom","13.96056","100.08139","45386","265","73150","73"
"Phutthamonthon","พุทธมณฑล","Nakhon Pathom","13.80194","100.32167","28275","541","73170","73"
"Mueang Samut Sakhon","เมืองสมุทรสาคร","Samut Sakhon","13.54833","100.27333","237045","482","74000","74"
"Krathum Baen","กระทุ่มแบน","Samut Sakhon","13.65583","100.26778","138309","1022","74110","74"
"Ban Phaeo","บ้านแพ้ว","Samut Sakhon","13.59056","100.10778","90961","371","74120","74"
"Mueang Samut Songkhram","เมืองสมุทรสงคราม","Samut Songkhram","13.41389","100.00333","103559","610.8","75000","75"
"Amphawa","อัมพวา","Samut Songkhram","13.42472","99.95722","57161","365.2","75110","75"
"Bang Khonthi","บางคนที","Samut Songkhram","13.46889","99.94056","33334","435.4","75120","75"
"Mueang Phetchaburi","เมืองเพชรบุรี","Phetchaburi","13.11194","99.94389","115000","405.1","76000","76"
"Ban Laem","บ้านแหลม","Phetchaburi","13.20056","99.98028","54068","290.7","76110","76"
"Cha-am","ชะอำ","Phetchaburi","12.79972","99.96694","20573","73.37","76121","76"
"Tha Yang","ท่ายาง","Phetchaburi","12.97333","99.88778","80794","109.7","76130","76"
"Khao Yoi","เขาย้อย","Phetchaburi","13.24028","99.82417","37697","121.8","76140","76"
"Ban Lat","บ้านลาด","Phetchaburi","13.04944","99.91889","50351","168.9","76150","76"
"Nong Ya Plong","หนองหญ้าปล้อง","Phetchaburi","13.16306","99.69722","14390","11.5","76160","76"
"Kaeng Krachan","แก่งกระจาน","Phetchaburi","12.90750","99.64806","27668","11.1","76170","76"
"Mueang Prachuap Khiri Khan","เมืองประจวบคีรีขันธ์","Prachuap Khiri Khan","11.80833","99.79667","90869","109.48","77000","77"
"Hua Hin","หัวหิน","Prachuap Khiri Khan","12.56861","99.95778","85099","101.44","77110","77"
"Pran Buri","ปราณบุรี","Prachuap Khiri Khan","12.39500","99.91667","73634","96.2","77120","77"
"Thap Sakae","ทับสะแก","Prachuap Khiri Khan","11.50000","99.62167","47645","88.31","77130","77"
"Bang Saphan","บางสะพาน","Prachuap Khiri Khan","11.21417","99.51194","71241","82.07","77140","77"
"Kui Buri","กุยบุรี","Prachuap Khiri Khan","12.08278","99.85417","41246","44.09","77150","77"
"Bang Saphan Noi","บางสะพานน้อย","Prachuap Khiri Khan","11.07500","99.44167","35553","49.37","77170","77"
"Sam Roi Yot","สามร้อยยอด","Prachuap Khiri Khan","12.27056","99.87194","47845","54.87","77180","77"
"Mueang Nakhon Si Thammarat","นครศรีธรรมราช","Nakhon Si Thammarat","8.42000","99.96333","266613","431.83","80000","80"
"Phra Phrom","พระพรหม","Nakhon Si Thammarat","8.33833","99.90167","41774","282.3","80000","80"
"Thung Song","ทุ่งสง","Nakhon Si Thammarat","8.16472","99.68083","151563","140.3","80110","80"
"Sichon","สิชล","Nakhon Si Thammarat","9.00667","99.90167","83981","119.4","80120","80"
"Chulabhorn","จุฬาภรณ์","Nakhon Si Thammarat","8.07500","99.87000","30668","159.3","80130","80"
"Ron Phibun","ร่อนพิบูลย์","Nakhon Si Thammarat","8.18000","99.85500","82754","246.7","80130","80"
"Pak Phanang","ปากพนัง","Nakhon Si Thammarat","8.35833","100.20667","107505","254.4","80140","80"
"Chawang","ฉวาง","Nakhon Si Thammarat","8.42611","99.50472","65787","124.5","80150","80"
"Nopphitam","นบพิตำ","Nakhon Si Thammarat","8.71944","99.75167","29670","41.2","80160","80"
"Tha Sala","ท่าศาลา","Nakhon Si Thammarat","8.66667","99.93167","106933","293.9","80160","80"
"Hua Sai","หัวไทร","Nakhon Si Thammarat","8.04000","100.27500","68863","164.8","80170","80"
"Cha-uat","ชะอวด","Nakhon Si Thammarat","7.96500","99.99833","84227","101.1","80180","80"
"Chaloem Phra Kiat","เฉลิมพระเกียรติ","Nakhon Si Thammarat","8.176667","100.035","33466","269.7","80190","80"
"Chian Yai","เชียรใหญ่","Nakhon Si Thammarat","8.16833","100.14500","45827","196.9","80190","80"
"Khanom","ขนอม","Nakhon Si Thammarat","9.20472","99.86111","27572","63.5","80210","80"
"Na Bon","นาบอน","Nakhon Si Thammarat","8.26167","99.59500","26428","137.0","80220","80"
"Lan Saka","ลานสกา","Nakhon Si Thammarat","8.37167","99.80500","40406","117.83","80230","80"
"Thung Yai","ทุ่งใหญ่","Nakhon Si Thammarat","8.29667","99.37500","67202","111.4","80240","80"
